nombre,nivel,forma,efecto,tiradaEfecto,agotamiento
DRAGON’S EYE,1d6 + 3,A ruby eye lens on a strap,"The wearer can see normally through the lens. When activated, the wearer can see  objects up to 5 miles (8 km) away within direct line of sight as if they were within immediate range for up to one minute. If a wearer makes a ranged attack while the dragon’s eye is activated, the wearer gains an asset to the attack.",,1–2 in 1d100
DRAGONTONGUE WEAPON,1d6 + 2,A weapon that roars with red flame,"This weapon functions as a normal weapon. If the wielder uses it to attack a foe, upon a successful hit, the wielder decides whether to activate the flame. Upon activation, the blade lashes the target with fire, inflicting additional points of damage from the heat equal to the cypher level. The effect lasts for one minute after each activation.",,1 in 1d100
MASK OF OCEANUS,1d6,A foam-green mask that covers the,"When activated, the wearer can breathe underwater for one hour.",,1 in 1d20
MONITOR’S MONOCLE,1d6 + 2,A mask that resembles a single large,"This device possesses a few different optically related abilities. Memory of What Was: The monocle captures a perfect image of a nearby scene. Thousands of images can be stored, and any stored image can be shown back to the wearer. When the monocle is depleted, all stored images are lost. Query of What Is: A foe seen through the monocle can be analyzed for a weak spot. The analysis allows the wearer of the monocle to use points from his Intellect Pool to increase the damage of his attacks by 3 points per level of Effort. Vision of What Will Be: The wearer catches a glimpse of a probable future, which, if acted on, serves as an asset to initiative rolls.",,1 in 1d100
RING OF DRAGON’S FLIGHT,1d6 + 2,A green iron ring that appears like a,"When the wearer activates the ring, dragon wings unfurl from his back, and for one minute he can fly up to long range. The ring does not confer the ability to hover or make fine adjustments while in flight.",,1–2 in 1d20
,1d6 + 2,A staff scribed with sparking runes,"This enchanted staff (sometimes called an ashur) emits a crackling arc of lightning at a target within long range. Targets hit by the arc take damage equal to the artifact’s level. This device is a rapid-fire weapon, and thus can be used with the Spray or Arc Spray abilities that some characters have, but each “round of ammunition” used or each additional target selected requires an additional depletion roll. An ashur sips vitality from its wielder’s soul to spit its destruction. If a depletion roll indicates the ashur is depleted, the wielder can choose to substitute a portion of his soul energy instead of letting the ashur be depleted. When the wielder does so, he descends one step on the damage track.",,1 in 1d20
RUNE WEAPON OF BLOOD,1d6,A weapon with blood-red runes,"This weapon functions as a normal weapon of its kind. However, it always inflicts 1 additional point of damage.",,—
RUNE WEAPON OF STRIKING,1d6 + 1,A weapon with blue runes promising the,"This weapon functions as a normal weapon of its kind. However, attacks with the weapon are modified by one step to the wielder’s benefit.",,—
SHADOW CLOAK,1d6 + 2,A cape of black leather with a hood,"When the hood of the cape is drawn over the wearer’s head as an action, the cloak renders the wearer difficult to detect for up to one hour. While the cloak is active, all stealth and Speed defense tasks are modified by two steps in the wearer’s favor, as are attempts to detect the wearer in any other fashion. This effect ends each round the wearer does something to reveal its presence or position, such as attacking, using a flashy ability, moving a large object, moving quickly, and so on. If this occurs, the wearer automatically regains the cloaking effect by taking no action next turn.",,"1–2 in 1d100, but instead of"
SHAMSHIR TWINBLADE,1d6 + 1,A central hilt with a shamshir blade,"This weapon functions as a normal weapon of its kind. However, the wielder can choose to make two attacks as her action on the same target or two adjacent targets. Doing so requires a depletion roll.",,1–2 in 1d100
SOUL SHEATH,1d6 + 2,"A sheath for a weapon, usually bladed","When a blade of any kind is sheathed in a soul sheath (which is tied to the wearer’s soul), both become insubstantial. A mental command causes the blade and sheath to become substantial once more, and if drawn as part of the same action, the blade is briefly empowered: the wielder takes 1 point of Intellect damage (which ignores Armor), but the blade inflicts additional points of damage equal to the artifact level for ten minutes.",,1–2 in 1d100
SOUL WEAPON,1d6 + 3,"A weapon with steaming, bone-white","This weapon functions as a normal weapon of its kind. However, attacks with the weapon are modified by one step to the wielder’s benefit. Using the weapon in this way does not require a depletion roll. A few weapons can speak in the voice of the bonded soul and have personalities of their own. Soul weapons have a variety of potential secondary abilities, which depend upon the soul imparted to the weapon when it was forged. Use of a soul weapon’s secondary abilities requires a depletion roll.","01–10 On a hit, deal extra damage equal  to weapon level of a kind specific to  the weapon. Roll 1d6. Enabler.  1 fire 4 acid  2 cold 5 flesh-decaying  3 lightning 6 thunder 11–30 The wielder can make a free recovery  roll. Action. 31–40 Wielder gains +5 to Armor against  a kind of energy specified in the first  entry for one hour. Action. 41–50 The weapon acts as a spiritslaying  weapon. Enabler. 51–75 For one hour, the weapon is  transformed into a creature whose  level equals the weapon’s level. The  creature must obey the wielder’s  commands. Action to initiate. 76–90 The weapon can attack a target  that the wielder can see within  long range. It fires an energy ray of  a kind specified in the first entry that deals damage equal to the  weapon’s level. Action. 91–00 Attacks with the weapon are  modified another step in the  wielder’s favor. Enabler.",1–3 in 1d100
SPELLBOOK OF THE AMBER MAGE,1d6,A weighty tome bound in amber filled,"When the user incants from the spellbook and succeeds at a level 3 Intellectbased task, she can attempt to trap a creature within long range inside a block of amber. Only creatures whose level is equal to or lower than the artifact’s level can be targeted. A creature successfully caught is preserved in perfect stasis until the encasing amber is broken away (the encasing amber has 10 points of health per level of the spellbook artifact).",,1 in 1d20
