id,nombre,descripcion,coste,rango,proeza,clase_nombre
1,Endurance,"Any duration dealing with physical actions is either doubled or halved, whichever is better for you. For example, if the typical person can hold their breath for thirty seconds, you can hold it for one minute. If the typical person can march for four hours without stopping, you can do so for eight hours. In terms of harmful effects, if a poison paralyzes its victims for one minute, you are paralyzed for thirty seconds. The minimum duration is always one round. Enabler.",,1,1,Vector
2,Fleet of Foot,"If you succeed at a difficulty 2 Speed roll to run, you can move a short distance and take an action in the same round. Enabler.",,1,1,Vector
3,No Need for Weapons,"When you make an unarmed attack (such as a punch or kick), you can choose whether you make the attack as if using a medium weapon or as if using a light weapon. Enabler.",,1,1,Vector
4,Pierce,"This is a well-aimed, penetrating ranged attack. You make an attack and inflict 1 additional point of damage. Action.",1 Speed point,1,1,Vector
5,Practiced in Armor,Vectors can wear armor for long periods of time without tiring and can compensate for slowed reactions from wearing armor. You can wear any kind of armor. You reduce the Might cost per hour for wearing armor and the Speed Pool reduction for wearing armor by 2. Enabler.,,1,1,Vector
6,Enable Others,You can use the helping rules to provide a benefit to another character attempting a physical task. This requires no action on your part. Enabler.,,2,1,Vector
7,Quick Recovery,"Your second recovery roll (usually requiring ten minutes) is only a single action, just like the first roll. Enabler.",,2,1,Vector
8,Range Increase,"Ranges for you increase by one step. Immediate becomes short, short becomes long, long becomes 200 feet (61 m). Enabler.",,2,1,Vector
9,Skill With Attacks,"Choose one type of attack in which you are not already trained: light bashing, light bladed, light ranged, medium bashing, medium bladed, medium ranged, heavy bashing, heavy bladed, or heavy ranged. You are trained in attacks using that type of weapon. Enabler.",,2,1,Vector
10,Spray,"If a weapon has the ability to fire rapid shots without reloading (usually called a rapid-fire weapon, such as the submachine gun), you can spray multiple shots around your target to increase the chance of hitting. Spray uses 1d6 + 1 rounds of ammo (or all the ammo in the weapon, if it has less than the number rolled). The difficulty of the attack roll is decreased by one step. If the attack is successful, it deals 1 less point of damage than normal. Action.",2 Speed points,2,1,Vector
11,Wreck,"Using two hands, you wield a weapon or a tool with a powerful swing. (If fighting unarmed, this attack is made with both fists or both feet together.) When using this as an attack, you take a -1 penalty to the attack roll, and you inflict 3 additional points of damage. When attempting to damage an object or barrier, you are trained in the task. Action.",,2,1,Vector
12,Experienced With Armor,The cost reduction from your Practiced in Armor ability improves. You now reduce the Might cost per hour and the Speed Pool reduction by 3. Enabler.,,3,1,Vector
13,Ignore the Pain,"You do not feel the detrimental effects of being impaired, and when you are debilitated, you ignore those effects and experience the effects normally associated with being impaired instead. (Dead is still dead.) Enabler.",,3,1,Vector
14,Lunge,"This move requires you to extend yourself for a powerful stab or smash. The awkward lunge increases the difficulty of the attack roll by one step. If your attack is successful, it inflicts 4 additional points of damage. Action.",2 Might points,3,1,Vector
15,Resilience,"You have 1 point of Armor against any kind of physical damage, even damage that normally ignores Armor. Enabler.",,3,1,Vector
16,Slice,"This is a quick attack with a bladed or pointed weapon that is hard to defend against. The difficulty of the attack roll is decreased by one step. If the attack is successful, it deals 1 less point of damage than normal. Action.",2 Speed points,3,1,Vector
17,Successive Attack,"If you take down a foe, you can immediately make another attack on that same turn against a new foe within your reach. The second attack is part of the same action. You can use this move with melee attacks and ranged attacks. Enabler.",,3,1,Vector
18,Arc Spray,"If a weapon has the ability to fire rapid shots without reloading (usually called a rapid-fire weapon, such as the automatic pistol), you can fire your weapon at up to three targets (all next to one another) as a single action. Make a separate attack roll against each target. The difficulty of each attack is increased by one step. Action.",3 Speed points,4,1,Vector
19,Capable Warrior,Your attacks deal 1 additional point of damage. Enabler.,,4,1,Vector
20,Feint,"If you spend one action creating a misdirection or diversion, in the next round you can take advantage of your opponent's lowered defenses. Make a melee attack roll against that opponent. The difficulty of the roll is decreased by one step. If your attack is successful, it inflicts 4 additional points of damage. Action.",2 Speed points,4,1,Vector
21,Increased Effects,You treat rolls of natural 19 as rolls of natural 20 for either Might actions or Speed actions (your choice when you gain this ability). This allows you to gain a major effect on a natural 19 or 20. Enabler.,,4,1,Vector
22,Runner,Your standard movement distance becomes long. Enabler.,,4,1,Vector
23,Skill With Attacks,"Choose one type of attack in which you are not already trained: light bashing, light bladed, light ranged, medium bashing, medium bladed, medium ranged, heavy bashing, heavy bladed, or heavy ranged. You are trained in attacks using that type of weapon. Enabler.",,4,1,Vector
24,Jump Attack,"You attempt a difficulty 4 Might action to jump high into the air as part of your melee attack. If you succeed, your attack inflicts 3 additional points of damage and knocks the foe down. If you fail, you still make your normal attack roll, but you don't inflict the extra damage or knock down the opponent. Action.",5 Might points,5,1,Vector
25,Mastery With Defense,"Choose one type of defense task in which you are trained: Might, Speed, or Intellect. You are specialized in defense tasks of that type. Unlike most moves, you can select this move up to three times. Each time you select it, you must choose a different type of defense task. Enabler.",,5,1,Vector
26,Parry,"You can deflect incoming attacks quickly. When you activate this move, for the next ten rounds the difficulty of all Speed defense rolls is reduced by one step. Enabler.",5 Speed points,5,1,Vector
27,Physical Adept,"Any time you spend points from your Might Pool or Speed Pool on an action for any reason, if you roll a 1 on the associated die, you reroll the die, always taking the second result (even if it's a 1). Enabler.",,5,1,Vector
28,Skill With Attacks,"Choose one type of attack, even one in which you are already trained: light bashing, light bladed, light ranged, medium bashing, medium bladed, medium ranged, heavy bashing, heavy bladed, or heavy ranged. You are trained in attacks using that type of weapon. If you're already trained in that type of attack, you instead become specialized in that type of attack. Enabler.",,5,1,Vector
29,Again and Again,You can take an additional action in a round in which you have already acted. Enabler.,8 Speed points,6,1,Vector
30,Mastery With Armor,"When you wear any armor, you reduce the armor's penalties (Might cost and Speed reduction) to 0. If you select this move and you already have the Experienced With Armor move, replace Experienced With Armor with a different third-tier move because Mastery With Armor is better. Enabler.",,6,1,Vector
31,Spin Attack,"You stand still and make melee attacks against up to five foes within reach, all as part of the same action in one round. Make a separate attack roll for each foe. You remain limited by the amount of Effort you can apply on one action. Anything that modifies your attack or damage applies to all of these attacks. Action.",5 Speed points,6,1,Vector
32,Shooting Gallery,"You stand still and make ranged attacks against up to five foes within range, all as part of the same action in one round. Make a separate attack roll for each foe. You remain limited by the amount of Effort you can apply on one action. Anything that modifies your attack or damage applies to all of these attacks. Action.",5 Speed points,6,1,Vector
33,Skill With Attacks,"Choose one type of attack, even one in which you are already trained: light bashing, light bladed, light ranged, medium bashing, medium bladed, medium ranged, heavy bashing, heavy bladed, or heavy ranged. You are trained in attacks using that type of weapon. If you're already trained in that type of attack, you instead are specialized in that type of attack. Enabler.",,6,1,Vector
34,Closed Mind,You are trained in Intellect defense tasks and have +2 to Armor against damage that selectively targets your Intellect Pool (that normally ignores Armor). Enabler.,,1,1,Paradox
35,Exception,"You pick one creature within long range. The target is jolted by a confluence of fundamental forces for 4 points of damage. If the target you select is not native to the recursion where you attack it, its senses are overwhelmed. On a successful attack, in addition to taking 4 points of damage, it cannot act on its next turn. Once exposed to this revision, a non-native creature normally can't be affected by the sense-overwhelming portion of this attack again for several hours. Action.",1 Intellect point,1,1,Paradox
36,Levitate Creature,"You can temporarily bend the fundamental force of gravity on a creature or object (no larger than yourself) that is within long range. The target's level can be no more than 2 above your tier. On a successful attack, an affected target floats an immediate distance over the ground for one round. A levitating target hovers just above the ground, able to take actions, but unable to gain purchase through physical contact. Each round after the initial attack, you can attempt to keep the target aloft by spending 1 additional Intellect point and succeeding at a difficulty 2 Intellect task. If your concentration lapses, the target drops back to the ground. You can't directly move a levitating object with this revision, but strong winds, a hearty push by someone else, or other forces can move the target. Action to initiate.",2+ Intellect points,1,1,Paradox
37,Premonition,"Despite appearances, reality is quantum and noncausal, which means a careful observer can discover information leaks. You learn one random fact from a person or location that is pertinent to a topic you designate. Alternatively, you can choose to learn a creature's level; however, if you do so, you cannot learn anything else about it later with this revision. Action.",2 Intellect points,1,1,Paradox
38,Shatter,"You interrupt the fundamental force holding normal matter together for a moment, creating the detonation of an object you choose within long range. The object must be a small, mundane item composed of homogeneous matter (such as a clay cup, an iron ingot, a stone, and so on). The object explodes in an immediate radius, attacking all creatures and objects in the area for 1 point of damage. Because this is an area attack, adding Effort to increase your damage works differently than it does for single-target attacks: for each level of Effort applied to increase the damage, add 2 points of damage to each target. If you increase the damage through Effort, even if you fail your attack roll, all targets in the area still take 1 point of damage. Action.",2 Intellect points,1,1,Paradox
39,Force Shield,You call up a field of shielding energy that grants you +1 to Armor for ten minutes. You can increase the Armor bonus by spending Effort. Each additional level of Effort increases the Armor value you gain by 1. Action.,2+ Intellect points,2,1,Paradox
40,Gate Key,"You can secure (or unlock) a regular door or other object that can be closed or opened, such as a drawer, laptop, satchel, book, window, and so on, even if it can't normally be locked. You can also lock (or open) a permanent or semipermanent recursion gate, including translation gates and inapposite gates. To unlock or lock the target, you must touch it. If the object is locked and you wish to unlock it, succeed at an Intellect task with a difficulty set by the GM (usually equal to the level of the lock or effect holding the object closed). On a success, the target is unlocked. You automatically succeed in locking an object if that is your goal; an object or gate is locked at a level equal to 4 + your tier. Action.",4 Intellect points,2,1,Paradox
41,Mind Reading,You can read the mind of a creature you can see within short range. You gain access to its surface thoughts for up to one minute as long as it is within range. Action to initiate.,4 Intellect points,2,1,Paradox
42,Plasma Arc,"You induce an ionized arc of plasma to leap between two targets that you can see and that are within short range of each other. Both targets must also be within long range of you. You roll an attack for each target separately. If you successfully attack only one target, it takes 4 points of damage from the intense heat. If you successfully attack both targets, each takes 4 points of damage. Effort applied to one attack counts for both, but you must abide by your Effort level limit for each action. Action.",2 Intellect points,2,1,Paradox
43,Revise Flesh,"You can revise flesh with your touch in one of two ways. When you touch an impaired or debilitated character, you can choose to move the character up one step on the damage track (for example, a debilitated PC becomes impaired, while an impaired creature becomes hale). Alternatively, you can grant a character a +2 bonus to his recovery roll if you use this ability on the PC during a rest. Action.",3 Intellect points,2,1,Paradox
44,Energy Protection,"Choose a discrete type of energy that you have experience with (such as heat, sonic, electricity, and so on). You must be familiar with the type of energy; for example, if you have no experience with a certain kind of extradimensional energy, you can't protect against it. You gain +10 to Armor against damage from that type of energy for ten minutes. Alternatively, you gain +1 to Armor against damage from that energy for one day. Instead of applying Effort to decrease the difficulty of this revision, you can apply Effort to protect more targets, with each level of Effort affecting up to two additional targets. You must touch additional targets to protect them. Action to initiate.",3+ Intellect points,3,1,Paradox
45,Eye for the Strange,"You see a ""shimmer"" around creatures and objects that are not native to the current recursion and around native creatures that possess the spark. If you spend an action concentrating on a nonnative target with such a shimmer, you can see the form it originally possessed prior to translating to the current recursion (if it went through an inapposite gate, it retains the shimmer, but may not look much different). Enabler (although you can use an Action to enhance, as stated).",,3,1,Paradox
46,Force at Distance,"You temporarily bend the fundamental law of gravity around a creature or object (up to twice your mass) within short range. The target's level can be no more than 2 above your tier. On a successful attack, an affected target is caught in your telekinetic grip, and you can move the creature up to a short distance in any direction each round that you retain your hold. A creature in your telekinetic grip can take actions, but it can't move under its own power. Each round after the initial attack, you can attempt to keep your grip on the target by spending 2 additional Intellect points and succeeding at a difficulty 2 Intellect task. If your concentration lapses, the target drops back to the ground. Instead of applying Effort to decrease the difficulty, you can apply Effort to increase the amount of mass you can affect. Each level of Effort allows you to affect a creature or object twice as massive as before. For example, applying one level of Effort would affect a creature four times as massive as you, two levels of Effort would affect a creature eight times as massive, three levels can affect a creature sixteen times as massive, and so on. Action to initiate.",4+ Intellect points,3,1,Paradox
47,Psychic Precision,"You are trained in any mental revision or mental ability that comes from a cypher, an artifact, or your focus. For example, you are trained when using Mind Reading because it's a mental ability, but not when using Plasma Arc. Enabler.",,3,1,Paradox
48,Recursion Viewing,"An observer with the ability to revise reality knows that space and distance is an illusion. You concentrate to create an invisible, immobile sensor at a location within a recursion you have previously visited or viewed (at the GM's discretion, you may have to succeed at an Intellect task if the location is somehow warded). The sensor lasts for about an hour. Once it is created, you can concentrate to see, hear, and smell through the sensor whether you are somewhere else in the recursion or on a connected prime. The sensor doesn't grant you sensory capabilities beyond the norm. Creating such a sensor on the prime world of Earth requires that you spend a level of Effort. Action to create; action to check.",5 Intellect points,3,1,Paradox
49,Gate Exit,"You create one end of a translation gate. The gate exit does not connect to anything unless you earlier created a different gate exit within another recursion, in which case that exit and the new one connect, creating a translation gate. Unconnected gate exits last for about a month or until destroyed. After two gate exits link up to form a translation gate, the gate lasts for about a year or until destroyed. (Like all objects, translation gates have levels that speak to their ability to withstand harm. The translation gate exit you create with this ability is level 5.) You can create a permanent translation gate by using this revision every day for seven days on either exit of a connected translation gate. One hour to initiate.",9 Intellect points,4,1,Paradox
50,Invisibility,"You bend light around you, becoming invisible for ten minutes. While invisible, you are specialized in stealth and Speed defense tasks. This effect ends if you do something to reveal your presence or position-attacking, performing a revision, using an ability, moving a large object, and so on. If this occurs, you can regain the remaining invisibility effect by taking an action to focus on hiding your position. Action to initiate or reinitiate.",4 Intellect points,4,1,Paradox
51,Mind Control,"You control the actions of another creature you touch. This effect lasts for ten minutes. The target must be level 2 or lower. After you have established control, you maintain mental contact with the target and sense what it senses. You can allow it to act freely or override its control on a case-by-case basis. Instead of applying Effort to decrease the difficulty, you can apply Effort to increase the maximum level of the target. Thus, to control the mind of a level 5 target (three levels above the normal limit), you must apply three levels of Effort. When the Mind Control revision ends, the creature doesn't remember being controlled or anything it did while under your command. Action to initiate.",6+ Intellect points,4,1,Paradox
52,Rapid Processing,"You or a target you touch experiences a higher level of mental and physical reaction time for about a minute. During that period, the target modifies all Speed tasks by one step to its benefit, including Speed defense rolls. In addition, the target can take one extra action at any time before the revision's duration expires. Action.",6 Intellect points,4,1,Paradox
53,Warp World,"You tug on the fundamental laws of the recursion to create a zone of distraction and confusion around a creature you can see within long range for one minute. All attacks against the target are modified by one step to the attacker's benefit, and all attacks made by the target are modified by one step to its detriment. If the target attempts an attack and fails, it automatically hits one of the target's allies if an ally is in range of that attack.",5 Intellect points,4,1,Paradox
54,Draw From Fiction,"You produce, as if from thin air, a level 5 creature of a kind you have previously encountered in a recursion that you have visited. The creature you name appears through a transitory inapposite gate and remains for one minute. The creature is drawn back to its home recursion when the revision ends. The creature acts as you direct. It appears through an inapposite gate, and at the GM's discretion, it may face difficulties according to the rules of the location you draw it into, such as suffering a step penalty to some or all tasks it attempts. As a level 5 creature, it has a target number of 15 and a health of 15, and it inflicts 5 points of damage. Action.",7 Intellect points,5,1,Paradox
55,Exile,"You send another creature you can see within long range to the recursion of its origin or (if the creature is not native to a recursion) to one you've previously visited. The target must be level 5 or lower, and you must succeed on an attack. If successful, the creature is exiled through a transitory inapposite gate. If the creature resists, all its actions are modified by two steps to its detriment for one minute. Exiled creatures can't return to the recursion you exiled them from under their own power for seven days (even if they have the ability to move between recursions or if they find a gate). Action.",7 Intellect points,5,1,Paradox
56,Force Focus,"You exchange your current focus for the focus you possessed in an alternate recursion (or connected prime) for up to one hour. Doing so is a transgression of reality and the rules of translation, which means that it saps both your Intellect Pool and your Might Pool. While you retain the forced focus, your appearance is a hybrid of your current appearance and what you look like in the recursion or prime whose focus you are borrowing. You can use your current focus while the forced focus is active. Action to initiate.","6 Intellect points + 2 Might
points",5,1,Paradox
57,Knowing the Unknown,"Tapping into the immense processing capacity of the Strange, you ask the GM one question and get a general answer. The GM assigns a level to the question, so the more obscure the answer, the more difficult the task. Generally, knowledge that you could find by looking somewhere other than your current location is level 1, and obscure knowledge of the past is level 7. Gaining knowledge of the future is impossible. Action.",6 Intellect points,5,1,Paradox
58,True Senses,"You can see in complete darkness up to 50 feet (15 m) as if it were dim light. You recognize holograms, disguises, optical illusions, sound mimicry, and other such tricks (for all senses) for what they are. Enabler.",,5,1,Paradox
